finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743013658655,1743009516165,1743013658566.0,36
1743013659652,1743009517161,1743013659566.0,35
1743013660645,1743009518162,1743013660570.0,34
1743013661678,1743009519188,1743013661592.0,33
1743013662692,1743009520190,1743013662597.0,32
1743013663663,1743009521177,1743013663586.0,31
1743013664723,1743009522205,1743013664612.0,30
1743013665673,1743009523190,1743013665603.0,29
1743013666704,1743009524210,1743013666618.0,28
1743013667705,1743009525215,1743013667621.0,27
1743013668725,1743009526234,1743013668643.0,26
1743013669699,1743009527214,1743013669627.0,25
1743013670712,1743009528223,1743013670637.0,24
1743013671715,1743009529231,1743013671642.0,23
1743013672741,1743009530244,1743013672655.0,22
1743013673751,1743009531263,1743013673672.0,21
1743013674762,1743009532268,1743013674674.0,20
1743013675752,1743009533265,1743013675674.0,19
1743013676765,1743009534277,1743013676689.0,20
1743013677775,1743009535286,1743013677692.0,21
1743013678770,1743009536281,1743013678693.0,22
1743013679784,1743009537295,1743013679707.0,23
1743013680791,1743009538304,1743013680709.0,24
1743013681773,1743009539289,1743013681702.0,25
1743013682812,1743009540315,1743013682719.0,26
1743013683809,1743009541322,1743013683731.0,27
1743013684814,1743009542330,1743013684742.0,28
1743013685823,1743009543335,1743013685740.0,29
1743013686827,1743009544341,1743013686746.0,30
1743013687804,1743009545322,1743013687739.0,31
1743013688844,1743009546350,1743013688761.0,32
1743013689848,1743009547360,1743013689769.0,33
1743013690847,1743009548365,1743013690771.0,34
1743013691852,1743009549362,1743013691772.0,35
1743013692860,1743009550369,1743013692778.0,36
1743013693865,1743009551378,1743013693787.0,37
1743013694876,1743009552387,1743013694795.0,38
1743013695867,1743009553384,1743013695796.0,39
1743013696893,1743009554404,1743013696811.0,40
1743013697890,1743009555403,1743013697812.0,41
1743013698912,1743009556423,1743013698831.0,42
1743013699918,1743009557431,1743013699839.0,43
1743013700905,1743009558414,1743013700822.0,44
1743013701932,1743009559436,1743013701844.0,45
1743013702927,1743009560438,1743013702843.0,46
1743013703932,1743009561443,1743013703844.0,47
1743013704920,1743009562434,1743013704843.0,48
1743013705955,1743009563456,1743013705866.0,49
1743013706917,1743009564433,1743013706847.0,50
1743013707984,1743009565494,1743013707899.0,51
1743013708956,1743009566464,1743013708871.0,52
1743013710001,1743009567516,1743013709926.0,53
1743013710965,1743009568479,1743013710893.0,54
1743013711971,1743009569485,1743013711897.0,55
1743013712974,1743009570489,1743013712896.0,56
1743013713980,1743009571496,1743013713910.0,57
1743013714994,1743009572510,1743013714922.0,58
1743013716015,1743009573521,1743013715931.0,59
1743013717014,1743009574531,1743013716938.0,60
1743013717992,1743009575509,1743013717923.0,61
1743013719024,1743009576529,1743013718941.0,62
1743013720044,1743009577554,1743013719960.0,63
1743013721057,1743009578564,1743013720973.0,64
1743013722041,1743009579550,1743013721961.0,65
1743013723048,1743009580562,1743013722972.0,66
1743013724047,1743009581560,1743013723971.0,67
1743013725052,1743009582563,1743013724975.0,68
1743013726052,1743009583565,1743013725979.0,69
1743013727055,1743009584570,1743013726981.0,70
1743013728060,1743009585572,1743013727982.0,71
1743013729073,1743009586587,1743013728997.0,72
1743013730084,1743009587595,1743013730007.0,73
1743013731083,1743009588599,1743013731012.0,74
1743013732092,1743009589605,1743013732016.0,75
1743013733100,1743009590614,1743013733019.0,76
1743013734089,1743009591605,1743013734021.0,77
1743013735106,1743009592618,1743013735029.0,78
1743013736108,1743009593622,1743013736035.0,79
1743013737101,1743009594619,1743013737035.0,80
1743013738124,1743009595639,1743013738043.0,81
1743013739132,1743009596645,1743013739056.0,80
1743013740126,1743009597641,1743013740053.0,79
1743013741135,1743009598648,1743013741063.0,78
1743013742148,1743009599662,1743013742071.0,77
1743013743153,1743009600665,1743013743075.0,76
1743013744156,1743009601666,1743013744078.0,75
1743013745152,1743009602666,1743013745078.0,74
1743013746151,1743009603668,1743013746082.0,73
1743013747155,1743009604673,1743013747086.0,72
1743013748165,1743009605676,1743013748086.0,71
1743013749168,1743009606682,1743013749095.0,70
1743013750176,1743009607690,1743013750103.0,69
1743013751183,1743009608698,1743013751110.0,68
1743013752185,1743009609704,1743013752115.0,67
1743013753193,1743009610708,1743013753116.0,66
1743013754194,1743009611710,1743013754121.0,65
1743013755197,1743009612714,1743013755126.0,64
1743013756208,1743009613721,1743013756133.0,63
1743013757239,1743009614741,1743013757150.0,62
1743013758219,1743009615737,1743013758153.0,61
1743013759222,1743009616736,1743013759146.0,60
1743013760242,1743009617758,1743013760170.0,59
1743013761257,1743009618765,1743013761174.0,58
1743013762237,1743009619752,1743013762166.0,57
1743013763277,1743009620786,1743013763194.0,56
1743013764283,1743009621792,1743013764196.0,55
1743013775412,1743009632931,1743013775345.0,54
1743013775417,1743009632931,1743013775352.0,53
1743013775419,1743009632931,1743013775356.0,52
1743013775421,1743009632931,1743013775364.0,51
1743013775449,1743009632961,1743013775375.0,50
1743013775451,1743009632962,1743013775383.0,49
1743013775453,1743009632962,1743013775392.0,48
1743013775471,1743009632983,1743013775399.0,47
1743013775482,1743009632990,1743013775404.0,46
1743013775484,1743009632990,1743013775413.0,45
1743013775501,1743009633011,1743013775421.0,44
1743013776358,1743009633867,1743013776268.0,43
1743013777368,1743009634877,1743013777290.0,42
1743013778382,1743009635879,1743013778289.0,41
1743013779372,1743009636884,1743013779294.0,40
1743013780373,1743009637878,1743013780279.0,39
1743013781392,1743009638902,1743013781306.0,38
1743013782398,1743009639910,1743013782317.0,37
1743013783403,1743009640904,1743013783308.0,36
1743013784419,1743009641923,1743013784327.0,35
1743013785428,1743009642943,1743013785354.0,34
1743013786429,1743009643946,1743013786348.0,33
1743013787420,1743009644931,1743013787338.0,32
1743013788415,1743009645928,1743013788337.0,31
1743013789442,1743009646952,1743013789361.0,30
1743013790432,1743009647944,1743013790351.0,29
1743013791438,1743009648951,1743013791364.0,28
1743013792462,1743009649973,1743013792382.0,27
1743013793439,1743009650952,1743013793364.0,26
1743013794474,1743009651985,1743013794388.0,25
1743013795485,1743009652998,1743013795404.0,24
1743013796481,1743009653990,1743013796403.0,23
1743013797508,1743009655004,1743013797414.0,22
1743013798494,1743009656005,1743013798413.0,21
1743013799496,1743009657004,1743013799411.0,20
1743013800521,1743009658028,1743013800435.0,19
1743013801526,1743009659038,1743013801447.0,20
1743013802512,1743009660027,1743013802440.0,21
1743013803540,1743009661051,1743013803460.0,22
1743013804540,1743009662051,1743013804458.0,23
1743013805533,1743009663048,1743013805458.0,24
1743013806531,1743009664043,1743013806449.0,25
1743013807567,1743009665076,1743013807487.0,26
1743013808545,1743009666056,1743013808467.0,27
1743013809560,1743009667074,1743013809485.0,28
1743013810581,1743009668094,1743013810502.0,29
1743013811570,1743009669083,1743013811489.0,30
1743013812588,1743009670103,1743013812512.0,31
1743013813606,1743009671113,1743013813523.0,32
1743013814634,1743009672142,1743013814555.0,33
1743013815614,1743009673128,1743013815530.0,34
1743013816630,1743009674130,1743013816537.0,35
1743013817659,1743009675135,1743013817541.0,36
1743013819639,1743009677151,1743013819556.0,38
1743013820655,1743009678159,1743013820563.0,39
1743013821668,1743009679180,1743013821579.0,40
1743013822656,1743009680167,1743013822573.0,41
1743013823672,1743009681180,1743013823586.0,42
1743013824663,1743009682174,1743013824580.0,43
1743013825670,1743009683181,1743013825591.0,44
1743013826680,1743009684192,1743013826593.0,45
1743013827689,1743009685201,1743013827612.0,46
1743013828744,1743009686263,1743013828672.0,47
1743013829737,1743009687245,1743013829651.0,48
1743013830672,1743009688189,1743013830603.0,49
1743013831712,1743009689228,1743013831635.0,50
1743013832711,1743009690219,1743013832631.0,51
1743013833715,1743009691227,1743013833633.0,52
1743013834725,1743009692235,1743013834640.0,53
1743013835744,1743009693253,1743013835663.0,54
1743013836712,1743009694227,1743013836640.0,55
1743013837745,1743009695255,1743013837663.0,56
1743013838764,1743009696272,1743013838680.0,57
1743013839756,1743009697266,1743013839675.0,58
1743013840746,1743009698259,1743013840673.0,59
1743013841752,1743009699268,1743013841680.0,60
1743013842753,1743009700270,1743013842677.0,61
1743013843776,1743009701287,1743013843697.0,62
1743013844791,1743009702303,1743013844707.0,63
1743013845772,1743009703285,1743013845697.0,64
1743013846755,1743009704274,1743013846688.0,65
1743013847789,1743009705301,1743013847713.0,66
